"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
113461,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""12.8""","=""25.9""","=""46.7""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113476,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""14.8""","=""25.5""","=""42""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113477,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""15.9""","=""25""","=""38.1""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113478,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""16.1""","=""24.5""","=""36""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113479,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""15.3""","=""24""","=""37""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113462,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""13.7""","=""23.5""","=""39.1""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113480,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""15.3""","=""23""","=""34.3""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113481,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""16.1""","=""22.5""","=""30.9""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113482,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""16.1""","=""22""","=""29.6""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113483,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""15.3""","=""21.4""","=""28.9""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113463,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""14.4""","=""20.7""","=""28.6""","=""2000""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113484,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""15.2""","=""19.8""","=""25.4""","=""2001""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113485,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""15.1""","=""18.6""","=""22.8""","=""2002""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113486,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""14.3""","=""17.3""","=""21.2""","=""2003""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113487,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""13""","=""16.3""","=""20.3""","=""2004""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113464,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""12""","=""15.8""","=""20.3""","=""2005""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
113488,"=""country""","=""Russian Federation""","=""RUS""","=""country""","=""Russian Federation""","=""12.5""","=""15.7""","=""19.3""","=""2006""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
