"=""Exposure Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Exposure Lower""","=""Exposure Mean""","=""Exposure Upper""","=""Year""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Units"""
122389,"=""country""","=""Libya""","=""LBY""","=""country""","=""Libya""","=""24.4""","=""32.8""","=""44.1""","=""1990""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122404,"=""country""","=""Libya""","=""LBY""","=""country""","=""Libya""","=""26.4""","=""33.8""","=""42.6""","=""1991""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122405,"=""country""","=""Libya""","=""LBY""","=""country""","=""Libya""","=""28""","=""34.6""","=""42.8""","=""1992""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122406,"=""country""","=""Libya""","=""LBY""","=""country""","=""Libya""","=""28.3""","=""35.4""","=""43.3""","=""1993""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122407,"=""country""","=""Libya""","=""LBY""","=""country""","=""Libya""","=""27.5""","=""35.8""","=""45.8""","=""1994""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122390,"=""country""","=""Libya""","=""LBY""","=""country""","=""Libya""","=""26""","=""36""","=""47.3""","=""1995""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122408,"=""country""","=""Libya""","=""LBY""","=""country""","=""Libya""","=""27.8""","=""36.1""","=""45.6""","=""1996""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122409,"=""country""","=""Libya""","=""LBY""","=""country""","=""Libya""","=""29""","=""36""","=""44.4""","=""1997""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122410,"=""country""","=""Libya""","=""LBY""","=""country""","=""Libya""","=""29.2""","=""36""","=""44.4""","=""1998""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
122411,"=""country""","=""Libya""","=""LBY""","=""country""","=""Libya""","=""28.2""","=""36""","=""45.6""","=""1999""","=""pm25""","=""PM<sub>2.5</sub>""","=""Country""","=""µg/m3"""
